issueid,STR.REQ,class,label
RE-576,The _VehicleCore_ shall support virtual UAVs,1,Requirement
RE-574,The _VehicleCore_ shall support UAVs connected via the _GCS_,1,Requirement
RE-563,When a group of UAVs are assigned flight patterns as part of a mission  the system shall provide a warning if any paths overlap.,1,Requirement
RE-562,A flight pattern shall document the longitude  latitude  and altitude of waypoints in a flight route as offsets from the starting position of the UAV.,1,Requirement
RE-558,If requested  the _SingleUAVFlightPlanScheduler_ shall abort the currently executing flight plan of an UAV,1,Requirement
RE-555,If a UAV does not have any pending flight plans  then when it reaches the final waypoint of its current flight plan  the _SingleUAVFlightPlanScheduler_ shall notify the UAV to hover in place.,1,Requirement
RE-551,If a scheduled flight is not manually assigned to a UAV  the _SingleUAVFlightPlanScheduler_ shall assign the route automatically to an UAV,1,Requirement
RE-549,If a route contains a specific {{UAV_ID}}  the _SingleUAVFlightPlanScheduler_ shall assign the route to the given UAV.,1,Requirement
RE-547,When requested  the _SingleUAVFlightPlanScheduler_ shall schedule a route for execution.,1,Requirement
RE-545,When requested  if a mission is currently active  the _MissionPlanner _shall cancel the active mission.,1,Requirement
RE-541,The _MissionPlanner _shall manage predefined FlightPatterns,1,Requirement
RE-531,When a flight plan is activated for a UAV currently on the ground  the _FlightSchedulingandExecution _shall notify the UAV to takeoff vertically until it reaches the prescribed altitude.,1,Requirement
RE-525,"""If a flight plan is active and the """"hover in place"""" command is rescinded  the _FlightManager_ shall notify the UAV to continue to the originally designated waypoint.""",1,Requirement
RE-523,If a flight route is assigned to a UAV which is currently hovering in place  the _FlightManager_ shall assign the route and maintain the hover in place mode.,1,Requirement
RE-521,"""When the """"hover in place"""" command is issued  the _FlightManager_ shall halt the UAV in place and maintain its current position.""",1,Requirement
RE-517,When given two coordinates the _CoordinateSystem_ shall compute the direction from the first coordinate to the second coordinate.,1,Requirement
RE-516,When given two coordinates the _CoordinateSystem_ shall compute the distance between them.,1,Requirement
RE-510,When requested  the _CoordinateSystem_ shall transform coordinates to alternate formats.,1,Requirement
RE-508,When a flight route requires a customized takeoff altitude that differs from the system's default takeoff altitude  it shall be specified in the flight route.,1,Requirement
RE-505,The _FlightRouteManager_ shall persist flight routes.,1,Requirement
RE-503,The _FlightRouteManager_ shall ensure that all flight routes represent a {{VALID_FLIGHT_ROUTE}}.,1,Requirement
RE-501,The _FlightRouteManager_ shall define flight routes as an ordered sequence of waypoints in which the first waypoint represents the first target location and the final waypoint represents the final target location.,1,Requirement
RE-424,"""When the """"return to home"""" command is issued  the _FlightManager_ shall return the UAV to its original launch location without issuing any additional waypoint or routing commands.""",1,Requirement
RE-235,When the _GCS_ loses the connection to an UAV  the _GCS_ shall attempt to reconnect,1,Requirement
RE-161,The _UAVActivationManager_ shall only activate UAVs that are registered.,1,Requirement
RE-160,When a _GCS_ requests activation of a newly detected UAV  the _GCSMiddleware_ shall forward the request to Dronology.,1,Requirement
RE-127,When a UAV has an active onboard Obstacle Avoidance  then the _ObstacleAvoidance_ system shall not issue directives,1,Requirement
RE-126,The _ObjectAvoidance_ system only issues commands within the capabilities of the UAV,1,Requirement
RE-125,If a UAV takes evasive actions the system will ensure that it will eventually reach its destination,1,Requirement
RE-124,When a stationary or moving object is within the proximity of a UAV the _ObjectAvoidance_ system shall issue evasive directives to the UAV,1,Requirement
RE-120,The _RealTimeFlightUI_ shall display the location of active UAVs as icons on the map.,1,Requirement
RE-114,When the _RealTimeFlightUI_ is loaded  a map shall be displayed.,1,Requirement
RE-112,If a command is issued by the _VaadinUI_ for an UAV  the _VaadinUI_ shall request control of that UAV.,1,Requirement
RE-110,The _UIMiddleware_ shall only assign one control-client at a time for each UAV.,1,Requirement
RE-108,The _UIMiddleware_ shall provide an interface for registering UI clients.,1,Requirement
RE-103,When a UAV's current flight is cancelled  the _SingleUAVFlightPlanScheduler_ shall in turn cancel all scheduled flight plans for that UAV.,1,Requirement
RE-101,If a UAV has pending flight plans  then when it reaches the final waypoint of its current flight plan  the _SingleUAVFlightPlanScheduler_ shall execute the next assigned flight plan.,1,Requirement
RE-100,If requested  the _SingleUAVFlightPlanScheduler_ shall unassign the flight plan assigned to a UAV that is awaiting execution.,1,Requirement
RE-86,The _SingleUAVFlightPlanScheduler_ shall maintain a managed list of pending flight plans for Each UAV.,1,Requirement
RE-80,When a flight plan is executed  the _VehicleCore_ shall send the next waypoint to the UAV.,1,Requirement
RE-77,Each waypoint shall be specified using coordinates that include longitude  latitude  and altitude.,1,Requirement
RE-38,The _VehicleCore_ shall associate a {{UAV_TYPE}} for each UAV defining its basic attributes.,1,Requirement
RE-36,The _UAVActivationManager_ shall ensure that only one instance of each registered drone is active at any time.,1,Requirement
RE-28,The _SingleUAVFlightPlanScheduler_ shall only execute one flight plan at a time for each UAV.,1,Requirement
RE-25,The _VehicleCore_ shall assign a unique ID to each activated UAV.,1,Requirement
RE-9,If a client registers for notifications  the _UIMiddleware_ shall send notifications for specific events,1,Requirement
RE-8,When requested  the _VehicleCore_ shall shall transition the UAV between states according to allowed state transitions as depicted in the UAV state transition diagram,1,Requirement
DD-768,Each movement command shall specify one of the following command types: {{SET_MONITORING_FREQUENCY  SET_STATE_FREQUENCY}},0,Design Definition
DD-767,The _RouteCreationUI_ shall provide capabilities to modify existing routes.,0,Design Definition
CO-765,"""Provides map functionality for displaying routes and UAVs  leveraging off-the-shelf map providers (such as OSM and google maps).   """,0,Feature
DD-764,The _UIMiddleware_ accepts resend waypoint commands associated with a unique {{UAV_ID}} and forwards to Dronology,0,Design Definition
DD-763,UAV State messages shall be formatted as JSON objects and contain the {{UAV_ID}} and the {{MODE}},0,Design Definition
DD-762,If a user attempts to create a route without providing a name then the system shall not save the route.,0,Design Definition
DD-761,The display of active flight plans shall include time in flight  traveled distance  remaining distance  completed and total waypoints.,0,Design Definition
DD-760,The active flight plan shall be displayed at the top of the list of pending flight plans.,0,Design Definition
DD-757,The properties that the _GCS_ sends to the _GCSMiddleware_ shall be defined in JSON,0,Design Definition
DD-756,The _GCS_ shall send the UAV's current properties to the _GCSMiddleware_ when they are received from the UAV.,0,Design Definition
DD-755,The _GCS_ requests the UAV's properties every {{UAV_MESSAGE_MONITORING_FREQUENCY}} seconds.,0,Design Definition
DD-753,The _GCS_ shall send the UAV's current coordinates to the _GCSMiddleware_ when they are received from the UAV.,0,Design Definition
DD-752,The _GCS_ requests the UAV's current coordinates every {{UAV_MESSAGE_STATE_FREQUENCY}} seconds.,0,Design Definition
DD-750,After {{UAV_RECONNECT_TIMEOUT}} has been reached  if connection to the UAV can not be reestablished  the _GCS_ shall send a UAV Timeout message containing the {{UAV_ID}} to the _GCSMiddleware_.,0,Design Definition
DD-749,If the connection to an UAV is lost and the _GCS_ fails to reconnect  the _GCS_ shall notify the _GCSMiddleware_.,0,Design Definition
DD-748,If the _GCS_ receives notification that the UAV is incorrectly registered then the _GCS_ closes the connection with the UAV.,0,Design Definition
DD-747,The _GCS_ shall send the home location  a time stamp  and the {{UAV_ID}} to the _GCSMiddleware_.,0,Design Definition
DD-745,When the _GCS_ receives a set frequency command from the _GCSMiddleware_ it shall adjust its messange frequency accordingly.,0,Design Definition
DD-744,Message frequency shall be defined in units of seconds.,0,Design Definition
DD-743,The default message frequency for UAV state messages shall be {{UAV_MESSAGE_STATE_FREQUENCY}},0,Design Definition
DD-742,The default message frequency for UAV monitoring messages shall be {{UAV_MESSAGE_MON_FREQUENCY}},0,Design Definition
DD-740,The _GCS_ shall transform commands into a vehicle specific format.,0,Design Definition
DD-737,When a socket error or time-out occurs  all UAVs associated with the _GCS_ shall be deactivated.,0,Design Definition
DD-735,The {{TAKEOFF}} command shall specify the target altitude,0,Design Definition
DD-734,The {{SET_VELOCITY}} shall specify a velocity vector specified using NED (North  East  Down) directions.,0,Design Definition
DD-733,The {{SET_GROUNDSPEED}} command shall specify ground speed in meters per second.,0,Design Definition
DD-732,The {{GOTO_WAYPOINT}} command shall include a target latitude  longitude  and altitude coordinate,0,Design Definition
DD-731,Each movement command shall specify one of the following command types: {{GOTO_WAYPOINT  SET_GROUNDSPEED  SET_VELOCITY  TAKEOFF  LAND  HOVER}},0,Design Definition
DD-730,Each command shall include a unique {{UAV_ID}},0,Design Definition
DD-728,The _GCSMiddleware_ shall be able to handle and send a setStateFrequency command to the respective _GCS_ containing the desired Frequency in ms.,0,Design Definition
DD-727,The _GCSMiddleware_ shall be able to handle and send a setMonitoringFrequency command to the respective _GCS_ containing the desired Frequency in ms.,0,Design Definition
DD-724,UAV State messages shall be formatted as JSON objects and contain both mandatory and optional elements.,0,Design Definition
DD-723,UAV Monitoring messages shall be formatted as JSON objects and contain arbitrary information regarding a single UAV.,0,Design Definition
DD-721,When the activation request is denied  the _GCSMiddleware_ shall send a predefined activation denied message to the _GCS_.,0,Design Definition
DD-720,When the activation request is approved  the _GCSMiddleware_ shall send a predefined activation confirmation message to the _GCS_.,0,Design Definition
DD-719,The _GCS_ shall be informed of the result of the activation request.,0,Design Definition
DD-718,The _GCSMiddleware_ shall call the _UAVActivationManager_ to request UAV activation.,0,Design Definition
DD-716,In step three  the _GCS_ announces its current set of recognized UAVs to the _GCSMiddleware_.,0,Design Definition
DD-715,In step two  the _GCSMiddleware_ accepts the connection and sends a handshake message.,0,Design Definition
DD-713,Each _GCS_ connecting to the  _GCSMiddleware_ shall be identified through a unique {{GROUNDSTATION_ID}}.,0,Design Definition
DD-712,The _GCSMiddleware_ shall only accept one connection for each _GCS_.,0,Design Definition
DD-711,The _GCSMiddleware_ shall accept connections with multiple _GCS_ ,0,Design Definition
DD-710,The _GCSMiddleware_ shall specify a predefined {{GCS_PORT}} where _GCS_ can connect.,0,Design Definition
DD-707,A monitoring message shall contain a (hierarchical) identifier describing the topic  a message type  a timestamp  and arbitrary serializeable data attached to the message,0,Design Definition
DD-705,The _DronologyRuntimeMonitor_ shall provide means to define wildcards i.e.  a client receives messages from all topics associated with the wildcard,0,Design Definition
DD-704,Topics shall be organized in a hierarchical manner meaning that clients can subscribe to all messages  messages from certain GCS  UAVS  and properties,0,Design Definition
DD-703,Clients shall be able to subscribe to any number of topics,0,Design Definition
CO-700,Provides basic data collection capabilities for internal data from Dronology (such as assigned flights) and data provided by the UAV (e.g.  location data and status),0,Feature
DD-699,When the UAV's battery level drops below a predefined threshold  then the UAV health indicator is activated.,0,Design Definition
DD-697,"""When """"UI follow mode"""" is active  the map should continually zoom and pan so that all selected UAVs are centered and their active routes constitutes 60% of the view.""",0,Design Definition
DD-696,"""When """"UI follow mode"""" is initiated  the map shall automatically zoom and pan so that all selected UAVs are centered and their active routes constitutes 60% of the view.""",0,Design Definition
DD-694,When requested by the user  the UI shall apply the requested emergency action to all selected UAVs; if no UAV is selected  the UI shall apply the emergency action to all UAVs by default.,0,Design Definition
DD-692,Operations shall include RTL  takeoff  hover-in-place  and resend command.,0,Design Definition
DD-690,The UI shall differentiate between completed  current  and not yet traversed flight segments.,0,Design Definition
DD-688,The UI shall periodically request current locations of all registered UAVs from the _UIMiddleware_ and update their locations on the map.,0,Design Definition
DD-687,For each activated UAV  the UI shall display information about that UAV (i.e. longitude  latitude  altitude  groud speed  battery level  etc.) ,0,Design Definition
DD-686,Different types of UAVs shall have different icons.,0,Design Definition
DD-685,When the map is loaded and the all active UAVs list is obtained the _UIRealTimeFlightView_ shall display an icon on the map for each registered UAV based on its current location.,0,Design Definition
DD-684,When the _RealTimeFlightUI_ is loaded  a map shall be displayed with the default zoom level and center coordinates specified in a configuration file.,0,Design Definition
DD-683,The UI shall periodically request the list of all activated UAVs from the _UIMiddleware_ and updates the display of currently activated UAVs,0,Design Definition
DD-682,Upon loading  the UI shall request information about all activated UAVs from the _UIMiddleware_ . Once the _UIMiddleware_ respond to the request  the UI shall display a list of all currently activated UAVs.,0,Design Definition
DD-678,When the user presses the route delete button  a confirmation message shall be displayed and if confirmed by the user then the route shall be deleted.,0,Design Definition
DD-676,When selected by the user  multiple routes shall be displayed simultaneously on the map.,0,Design Definition
DD-675,Consecutive waypoints in a route on a map shall be connected by lines.,0,Design Definition
DD-674,"""The _RouteCreationUI_ shall support route creation and modification in visual mode allowing the user to click on a location in order to create  modify  or delete a waypoint.  """,0,Design Definition
DD-673,The _RouteCreationUI_ shall support route creation and modification in tabular mode by displaying a editable table showing each waypoint and the velocity of the UAV approaching the waypoint.,0,Design Definition
DD-671,The route information shall be represented using the Standard Route XML format and transmitted to the _UIMiddleware_,0,Design Definition
DD-669,The UI shall provide respective fields for displaying and modifying the ID  textual description  waypoints  and other route information.,0,Design Definition
DD-667,The altitude and speed values shall not exceed the current maximum {{UAV_MAX_ALTITUDE}}. {{UAV_MAX_GROUND_SPEED}} set in the system.,0,Design Definition
DD-665,Waypoint colors shall be updated as the flight route is edited (e.g.  when a new first or last waypoint is added.) If current edits are canceled  the colors shall be reset to reflect current waypoints.,0,Design Definition
CO-663,"""Provides capabilities for creating new flight routes on a map that are stored in Dronology    """,0,Feature
DD-661,When the user presses the cancel pending flight plan button a request is sent to the _UI_Middleware_ to cancel the flight.,0,Design Definition
DD-660,Each UAV shall have a cancel pending flight plan button associated with it.,0,Design Definition
DD-658,Flight plans assigned to an UAV that have not yet been executed may be deleted by selecting the route and clicking the deselect button.,0,Design Definition
DD-657,Flight plans assigned to an UAV that have not yet been executed may be reordered by dragging a route within the list of assigned routes to a new position.,0,Design Definition
DD-654,When the user requests to view flight plans assigned to a UAV  the UI requests the pending flight plans from the UAV_FlightInfo object and displays them.,0,Design Definition
DD-652,When detailed information is requested by the user for a UAV  the UI shall request the UAV_Data object from the _UIMiddleware_.,0,Design Definition
DD-650,When route assignments are removed from a UAV  a request shall be sent to the _UIMiddleware_ to remove the assignment in Dronology.,0,Design Definition
DD-648,A route shall be assigned to a selected UAV using the mouse to drag and drop or double clicking on the route.,0,Design Definition
DD-647,The user shall select a UAV and then assign routes to it from an available route list.,0,Design Definition
CO-645,Provides capabilities for selecting existing routes and assigning them to active UAVs,0,Feature
DD-644,Before issuing commands to an UAV the _VaadinUI_ shall request control via the _UIMiddleware_.,0,Design Definition
CO-641,User interface for managing UAVs  routes  and planning flights.,0,Feature
DD-640,The _UIMiddleware_ shall forward a mission plan request to dronology.,0,Design Definition
DD-638,The _UIMiddleware_ shall assign the list of waypoints from a route to an active UAV in order to create a flight plan.,0,Design Definition
DD-636,When requested by a UI client  the _UIMiddleware_ shall support the modification of an existing flight route with an given ID.,0,Design Definition
DD-635,When requested by a UI client  the _UIMiddleware_ shall create a new flight route with a unique ID.,0,Design Definition
DD-633,The _UIMiddleware_  accepts return to home commands associated with a unique UAV ID and forwards to Dronology,0,Design Definition
DD-632,The _UIMiddleware_ accepts takeoff commands associated with a unique {{UAV_ID}} and forwards to Dronology,0,Design Definition
DD-631,The _UIMiddleware_ accepts hover in place commands associated with a unique {{UAV_ID}} and forwards to Dronology,0,Design Definition
DD-629,The _UIMiddleware_ retrieves and returns a list of previously saved flight routes,0,Design Definition
DD-627,The _UIMiddleware_ returns a list of UAV proxy objects containing information about all active UAVs including location  battery level  ground speed  and health status.,0,Design Definition
DD-625,If the heartbeat fails for a client holding one or more control locks after  {{CLIENT_HEARTBEAT_TIME}}   then the _UIMiddleware_ shall release all of its control locks.,0,Design Definition
DD-624,The _UIMiddleware_ shall monitor liveness of clients holding control locks on individual UAVs.,0,Design Definition
DD-623,The UI middleware shall forward control requests from UI clients to release a control lock on a UAV.,0,Design Definition
DD-622,The _UIMiddleware_ shall forward control requests from UI clients to hold a control lock on a UAV.,0,Design Definition
DD-621,A client shall register to the _UIMiddleware_ using a unique id,0,Design Definition
CO-620,Provides capabilities for connecting to multiple GCS' sending commands to  and receiving messages from UAVs.,0,Feature
DD-619,While the log level {{HW_TRACE}} is active each state and monitoring message shall be logged.,0,Design Definition
DD-618,Each connection request  handshake and mode change message shall be logged,0,Design Definition
DD-617,Each command sent to a _GCS_ via the _GCS_Middleware_ shall be logged,0,Design Definition
DD-615,"""The timestamp and the type of action shall be logged into the mission log for each flight plan related event.   This includes (1) time of scheduling  (2) time of execution  (3) time of completing plan  (4) reordering plan  (5) canceling plan""",0,Design Definition
DD-614,When a UAV reaches a waypoint while executing a flight plan  a log event shall be created that includes the coordinates of the waypoint  the UAV the flight plan is assigned to  the flight plan ID  and the timestamp.,0,Design Definition
DD-613,When a flight plan is executed a log event shall be created that includes the name of the route  the UAV it is assigned to  and the execution time stamp.,0,Design Definition
DD-612,When a flight plan is initiated a log event shall be created that includes the name of the route  the UAV it is assigned to  and the initiation time stamp.,0,Design Definition
CO-610,Provides capabilities for logging UAV related events (such as assigned flights  executed missions...).,0,Feature
DD-609,When a simulated UAV is in flight  the _NVECSimulator_ shall reduce the battery every second by {{SIMULATOR_BATTERY_DRAIN_VOLTS}}.,0,Design Definition
DD-608,When given a land command the _NVECSimulator_ shall immediately change the UAV's current altitude to the ground altitude.,0,Design Definition
DD-607,While responding to a goto command  the _NVECSimulator_ shall continue moving in steps towards the target coordinates until the target has been reached.,0,Design Definition
DD-606,When given a goto command the _NVECSimulator_ shall compute the next coordinate based upon the normal vector and altitude of the current position and the normal vector and altitude of the destination. The simulator shall move the UAV with infinite acceleration and use numerical methods to hone in on the next coordinate which will be {{SIMULATION_STEP_SIZE}} meters from the current position along the travel path.,0,Design Definition
DD-605,When given a takeoff command the _NVECSimulator_ shall move with infinite acceleration the UAV to the takeoff altitude corresponding to its current longitude and latitude.,0,Design Definition
CO-604,,0,Feature
DD-603,When a simulated UAV is in flight  the _InternalSimulator_ shall reduce the battery every second by {{SIMULATOR_BATTERY_DRAIN_VOLTS}}.,0,Design Definition
DD-602,When given a land command the _InternalSimulator_ shall immediately change the UAV's current altitude to the ground altitude.,0,Design Definition
DD-601,While responding to a goto command  the _InternalSimulator_ shall continue moving in steps towards the target coordinates until the target has been reached.,0,Design Definition
DD-600,When given a goto command the _InternalSimulator_ shall compute the next coordinate based upon the angle of travel and the step-size.,0,Design Definition
DD-599,When given a takeoff command the _InternalSimulator_ shall move with infinite acceleration the UAV to the takeoff altitude corresponding to its current longitude and latitude.,0,Design Definition
CO-598,Provides basic capabilities for simulating the flight of Virtual UAVs.,0,Feature
CO-591,Provides capabilities for registering UAVs  i.e.  providing meta-data regarding the UAV (such as payload  wingspan  equipment...),0,Feature
DD-590,The maximum number of activated UAVS shall be defined as {{MAX_UAV}},0,Design Definition
DD-588,When a UAV is deactivated all scheduled flight plans shall be removed from the UAV's flightplan pool.,0,Design Definition
DD-586,If the presented {{UAV_ID}} represents a currently registered UAV  then the _UAVActivationManager_ shall activate the UAV.,0,Design Definition
DD-585,If the presented {{UAV_ID}} does not represent a currently registered UAV  then the _UAVActivationManager_ will reject the activation and notify the _GCS_Middleware_,0,Design Definition
DD-584,When receiving a new activation request from the _GCS_Middleware_  the _UAVActivationManager_ shall check that the presented {{UAV_ID}} represents a currently registered and non-activated UAV.,0,Design Definition
DD-583,If the presented {{UAV_ID}} represents a currently activated UAV  then the _GCS_Middleware_ will be notified and no additional activation will be performed.,0,Design Definition
CO-582,Provides capabilities for activating and deactivating both Virtual and Physical UAVs within Dronology.,0,Feature
DD-580,When a UAV is in {{LANDING}} state and reaches zero altitude it transitions to {{ON_GROUND}},0,Design Definition
DD-579,When a UAV is in {{IN_AIR}} state and receives a command to land it transitions to {{LANDING}} state,0,Design Definition
DD-578,When a UAV is {{IN_AIR}} state and is assigned a flight plan to execute it transitions to {{FLYING}},0,Design Definition
DD-577,The system shall support internally simulated UAVs,0,Design Definition
DD-575,The _VehicleCore_ shall support UAVs capable of receiving and responding to commands sent via the ground control station,0,Design Definition
DD-573,An internally simulated UAV is instantiated with an ID that is unique from the IDs of all other currently activated UAVs.,0,Design Definition
DD-572,An activation request for a UAV that is received from the _GCS_Middleware_ is only accepted if the UAV provides an ID unique from all other currently activated UAVs.,0,Design Definition
DD-571,Each Virtual and Physical drone is associated with a predefined {{UAV_TYPE}} defining its basic attributes.,0,Design Definition
CO-570,Core component for managing different types of UAVs.,0,Feature
DD-569,If an obstacle is detected within a distance of {{MIN_STOPPING_DISTANCE}} the _ObjectAvoidance_ system shall issue a 'hover in place' command,0,Design Definition
DD-568,The ObjectAvoidance system shall compute pair-wise distances between UAVs,0,Design Definition
DD-567,The _ObjectAvoidance_ system shall maintain a list of UAV states,0,Design Definition
DD-566,The _ObjectAvoidance_ system shall retrieve the state of the UAVs onboard ObjectAvoidance status.,0,Design Definition
DD-565,The _ObjectAvoidance_ system shall retrieve UAV properties and shall check all directives against them.,0,Design Definition
DD-564,When a UAV which has been receiving evasive directives is no longer in close proximity to an object  the _ObjectAvoidance_ system shall stop sending directives and the UAV will continue towards its destination.,0,Design Definition
DD-561,When the flight plan is aborted the UAV switches to hover in place mode,0,Design Definition
DD-560,An aborted flight plan shall not be reassigned to any UAV,0,Design Definition
DD-559,When the flight plan is aborted it shall be removed from the associated UAV.,0,Design Definition
DD-557,Each UAV can only store one currently executing flight plan ID.,0,Design Definition
DD-556,The currently executing flight plan ID is associated with the UAV executing it.,0,Design Definition
DD-554,If the flight plan queue is not empty when the UAV reaches the final waypoint of its current flight plan  then the next flight plan is removed from the queue and set as the currently executed flight plan.,0,Design Definition
DD-553,When a UAV is issued a return-to-home command during a flight then the current flight plan is aborted and all scheduled flight plans are removed from its flight plan queue.,0,Design Definition
DD-552,If a flight plan is not assigned to a specific UAV the flight plan scheduler shall automatically assign it to the next available UAV.,0,Design Definition
DD-550,When a flight plan is assigned to a specific UAV it shall be placed in the UAV's execution queue.,0,Design Definition
DD-548,When a flight route is scheduled for execution  its waypoints  takeoff altitude  and identifier shall be used to instantiate a new flight plan,0,Design Definition
DD-546,When requested by the user  a currently executing mission plan shall be cancelled by removing all pending flight plans and removing all synchronization points.,0,Design Definition
DD-544,The FlightPattern for synchronized landing shall direct each UAV to synchronize at the final waypoint of the preceding route  ascend or descend to a unique altitude  synchronize  fly to the longitude and latitude of the home coordinates  synchronize  and then descend to the landing altitude.,0,Design Definition
DD-543,The FlightPattern for synchronized takeoff shall direct each UAV to takeoff to a unique altitude  synchronize with other UAVs  fly at the unique altitude to the longitude and latitude of the first waypoint of the subsequent route  synchronize with other UAVs  descend or ascend to the target waypoint  and synchronize with other UAVs to complete the flight pattern.,0,Design Definition
DD-542,When a predefined FlightPattern is included in a MissionPlan  it shall be expanded  prior to use into a set of waypoints and synchronization points for each of the participating UAVs.,0,Design Definition
DD-540,The MissionPlan shall be specified as a JSON file (see attached example).,0,Design Definition
DD-538,When a UAV is executing flight plans and reaches a synchronization point  it shall wait to proceed until all other UAVs sharing the same synchronization point have also reached this point.,0,Design Definition
DD-537,The flight plans of two or more UAVs shall be synchronized by inserting shared synchronization points between the ordered list of flight routes assigned to each participating UAV.,0,Design Definition
